,userId,itemId,ratings
0,0,16,5.0
1,0,17,2.0
2,0,18,7.0
3,0,19,3.0
4,0,20,4.0
5,0,21,4.0
6,0,22,3.0
7,0,23,2.0
8,1,24,3.0
9,1,25,3.0
10,1,26,5.0
11,1,27,5.0
12,1,28,5.0
13,1,29,3.0
14,1,30,6.0
15,1,31,6.0
16,2,24,5.0
17,2,25,6.0
18,2,26,3.0
19,2,27,6.0
20,2,28,6.0
21,2,29,6.0
22,2,30,6.0
23,2,31,6.0
24,3,0,3.0
25,3,1,3.0
26,3,2,4.0
27,3,3,4.0
28,3,4,4.0
29,3,5,4.0
30,3,6,4.0
31,3,7,4.0
32,4,24,4.0
33,4,25,4.0
34,4,26,5.0
35,4,27,4.0
36,4,28,4.0
37,4,29,4.0
38,4,30,4.0
39,4,31,4.0
40,5,0,4.0
41,5,1,5.0
42,5,2,4.0
43,5,3,4.0
44,5,4,5.0
45,5,5,4.0
46,5,6,4.0
47,5,7,5.0
48,6,8,7.0
49,6,9,7.0
50,6,10,7.0
51,6,11,7.0
52,6,12,7.0
53,6,13,7.0
54,6,14,7.0
55,6,15,7.0
56,7,24,6.0
57,7,25,7.0
58,7,26,7.0
59,7,27,7.0
60,7,28,5.0
61,7,29,4.0
62,7,30,6.0
63,7,31,7.0
64,8,0,1.0
65,8,1,1.0
66,8,2,1.0
67,8,3,7.0
68,8,4,6.0
69,8,5,6.0
70,8,6,1.0
71,8,7,1.0
72,9,24,6.0
73,9,25,4.0
74,9,26,6.0
75,9,27,6.0
76,9,28,5.0
77,9,29,6.0
78,9,30,6.0
79,9,31,6.0
80,10,16,1.0
81,10,17,1.0
82,10,18,1.0
83,10,19,1.0
84,10,20,7.0
85,10,21,1.0
86,10,22,5.0
87,10,23,1.0
88,11,8,1.0
89,11,9,5.0
90,11,10,7.0
91,11,11,5.0
92,11,12,5.0
93,11,13,4.0
94,11,14,1.0
95,11,15,2.0
96,12,8,6.0
97,12,9,4.0
98,12,10,2.0
99,12,11,6.0
100,12,12,6.0
101,12,13,4.0
102,12,14,4.0
103,12,15,4.0
104,13,0,3.0
105,13,1,5.0
106,13,2,5.0
107,13,3,7.0
108,13,4,4.0
109,13,5,7.0
110,13,6,5.0
111,13,7,4.0
112,14,16,3.0
113,14,17,3.0
114,14,18,3.0
115,14,19,3.0
116,14,20,3.0
117,14,21,3.0
118,14,22,3.0
119,14,23,3.0
120,15,8,4.0
121,15,9,4.0
122,15,10,4.0
123,15,11,4.0
124,15,12,4.0
125,15,13,4.0
126,15,14,4.0
127,15,15,4.0
128,16,0,5.0
129,16,1,1.0
130,16,2,6.0
131,16,3,1.0
132,16,4,5.0
133,16,5,1.0
134,16,6,1.0
135,16,7,6.0
136,17,16,4.0
137,17,17,4.0
138,17,18,4.0
139,17,19,4.0
140,17,20,4.0
141,17,21,4.0
142,17,22,4.0
143,17,23,4.0
144,18,8,2.0
145,18,9,7.0
146,18,10,7.0
147,18,11,7.0
148,18,12,7.0
149,18,13,7.0
150,18,14,7.0
151,18,15,7.0
152,19,8,6.0
153,19,9,5.0
154,19,10,6.0
155,19,11,6.0
156,19,12,6.0
157,19,13,6.0
158,19,14,7.0
159,19,15,5.0
160,20,8,4.0
161,20,9,4.0
162,20,10,4.0
163,20,11,4.0
164,20,12,4.0
165,20,13,4.0
166,20,14,4.0
167,20,15,4.0
168,21,24,1.0
169,21,25,5.0
170,21,26,6.0
171,21,27,1.0
172,21,28,6.0
173,21,29,5.0
174,21,30,1.0
175,21,31,6.0
176,22,24,6.0
177,22,25,6.0
178,22,26,6.0
179,22,27,6.0
180,22,28,6.0
181,22,29,6.0
182,22,30,7.0
183,22,31,7.0
184,23,8,5.0
185,23,9,4.0
186,23,10,5.0
187,23,11,5.0
188,23,12,4.0
189,23,13,5.0
190,23,14,4.0
191,23,15,4.0
192,24,8,3.0
193,24,9,5.0
194,24,10,1.0
195,24,11,4.0
196,24,12,2.0
197,24,13,3.0
198,24,14,3.0
199,24,15,4.0
200,25,8,4.0
201,25,9,3.0
202,25,10,6.0
203,25,11,5.0
204,25,12,2.0
205,25,13,5.0
206,25,14,2.0
207,25,15,6.0
208,26,24,4.0
209,26,25,4.0
210,26,26,5.0
211,26,27,5.0
212,26,28,5.0
213,26,29,4.0
214,26,30,5.0
215,26,31,6.0
216,27,0,7.0
217,27,1,7.0
218,27,2,6.0
219,27,3,6.0
220,27,4,6.0
221,27,5,6.0
222,27,6,6.0
223,27,7,6.0
224,28,0,4.0
225,28,1,3.0
226,28,2,4.0
227,28,3,4.0
228,28,4,5.0
229,28,5,4.0
230,28,6,6.0
231,28,7,5.0
232,29,8,4.0
233,29,9,2.0
234,29,10,7.0
235,29,11,7.0
236,29,12,4.0
237,29,13,6.0
238,29,14,1.0
239,29,15,3.0
240,30,8,4.0
241,30,9,5.0
242,30,10,7.0
243,30,11,7.0
244,30,12,7.0
245,30,13,7.0
246,30,14,6.0
247,30,15,6.0
248,31,8,2.0
249,31,9,4.0
250,31,10,4.0
251,31,11,6.0
252,31,12,6.0
253,31,13,5.0
254,31,14,6.0
255,31,15,3.0
256,32,8,1.0
257,32,9,1.0
258,32,10,1.0
259,32,11,1.0
260,32,12,1.0
261,32,13,1.0
262,32,14,1.0
263,32,15,1.0
264,33,0,7.0
265,33,1,7.0
266,33,2,7.0
267,33,3,7.0
268,33,4,7.0
269,33,5,7.0
270,33,6,7.0
271,33,7,7.0
272,34,24,5.0
273,34,25,5.0
274,34,26,2.0
275,34,27,4.0
276,34,28,6.0
277,34,29,2.0
278,34,30,7.0
279,34,31,5.0
280,35,16,7.0
281,35,17,7.0
282,35,18,7.0
283,35,19,7.0
284,35,20,7.0
285,35,21,7.0
286,35,22,7.0
287,35,23,7.0
288,36,16,7.0
289,36,17,7.0
290,36,18,7.0
291,36,19,4.0
292,36,20,7.0
293,36,21,7.0
294,36,22,7.0
295,36,23,7.0
296,37,16,5.0
297,37,17,5.0
298,37,18,1.0
299,37,19,7.0
300,37,20,1.0
301,37,21,1.0
302,37,22,3.0
303,37,23,7.0
304,38,0,4.0
305,38,1,4.0
306,38,2,4.0
307,38,3,4.0
308,38,4,4.0
309,38,5,4.0
310,38,6,4.0
311,38,7,4.0
312,39,0,4.0
313,39,1,4.0
314,39,2,4.0
315,39,3,4.0
316,39,4,4.0
317,39,5,4.0
318,39,6,4.0
319,39,7,4.0
320,40,0,5.0
321,40,1,4.0
322,40,2,5.0
323,40,3,5.0
324,40,4,1.0
325,40,5,2.0
326,40,6,2.0
327,40,7,4.0
328,41,8,1.0
329,41,9,6.0
330,41,10,7.0
331,41,11,7.0
332,41,12,7.0
333,41,13,7.0
334,41,14,7.0
335,41,15,7.0
336,42,24,6.0
337,42,25,6.0
338,42,26,6.0
339,42,27,7.0
340,42,28,6.0
341,42,29,6.0
342,42,30,6.0
343,42,31,7.0
344,43,0,6.0
345,43,1,5.0
346,43,2,6.0
347,43,3,5.0
348,43,4,6.0
349,43,5,5.0
350,43,6,5.0
351,43,7,6.0
352,44,24,5.0
353,44,25,6.0
354,44,26,6.0
355,44,27,4.0
356,44,28,6.0
357,44,29,6.0
358,44,30,6.0
359,44,31,5.0
360,45,8,4.0
361,45,9,5.0
362,45,10,4.0
363,45,11,4.0
364,45,12,4.0
365,45,13,5.0
366,45,14,5.0
367,45,15,5.0
368,46,0,1.0
369,46,1,4.0
370,46,2,6.0
371,46,3,6.0
372,46,4,1.0
373,46,5,4.0
374,46,6,4.0
375,46,7,4.0
376,47,8,5.0
377,47,9,3.0
378,47,10,4.0
379,47,11,4.0
380,47,12,7.0
381,47,13,4.0
382,47,14,4.0
383,47,15,7.0
384,48,16,6.0
385,48,17,6.0
386,48,18,6.0
387,48,19,6.0
388,48,20,6.0
389,48,21,6.0
390,48,22,6.0
391,48,23,6.0
392,49,0,5.0
393,49,1,4.0
394,49,2,4.0
395,49,3,6.0
396,49,4,2.0
397,49,5,4.0
398,49,6,3.0
399,49,7,4.0
400,50,16,6.0
401,50,17,6.0
402,50,18,6.0
403,50,19,6.0
404,50,20,6.0
405,50,21,6.0
406,50,22,6.0
407,50,23,6.0
408,51,16,6.0
409,51,17,3.0
410,51,18,4.0
411,51,19,7.0
412,51,20,4.0
413,51,21,2.0
414,51,22,4.0
415,51,23,4.0
416,52,0,5.0
417,52,1,5.0
418,52,2,5.0
419,52,3,5.0
420,52,4,5.0
421,52,5,5.0
422,52,6,5.0
423,52,7,5.0
424,53,8,1.0
425,53,9,2.0
426,53,10,5.0
427,53,11,4.0
428,53,12,6.0
429,53,13,6.0
430,53,14,5.0
431,53,15,5.0
432,54,8,5.0
433,54,9,6.0
434,54,10,6.0
435,54,11,6.0
436,54,12,5.0
437,54,13,4.0
438,54,14,6.0
439,54,15,5.0
440,55,24,7.0
441,55,25,7.0
442,55,26,7.0
443,55,27,7.0
444,55,28,7.0
445,55,29,7.0
446,55,30,7.0
447,55,31,7.0
448,56,16,1.0
449,56,17,1.0
450,56,18,6.0
451,56,19,2.0
452,56,20,2.0
453,56,21,3.0
454,56,22,6.0
455,56,23,6.0
456,57,24,3.0
457,57,25,5.0
458,57,26,4.0
459,57,27,3.0
460,57,28,5.0
461,57,29,3.0
462,57,30,3.0
463,57,31,3.0
464,58,8,3.0
465,58,9,4.0
466,58,10,3.0
467,58,11,3.0
468,58,12,3.0
469,58,13,3.0
470,58,14,4.0
471,58,15,5.0
472,59,0,2.0
473,59,1,3.0
474,59,2,3.0
475,59,3,3.0
476,59,4,3.0
477,59,5,3.0
478,59,6,3.0
479,59,7,3.0
480,60,8,6.0
481,60,9,6.0
482,60,10,6.0
483,60,11,6.0
484,60,12,7.0
485,60,13,6.0
486,60,14,7.0
487,60,15,7.0
488,61,8,7.0
489,61,9,7.0
490,61,10,7.0
491,61,11,7.0
492,61,12,7.0
493,61,13,7.0
494,61,14,7.0
495,61,15,7.0
496,62,24,7.0
497,62,25,7.0
498,62,26,7.0
499,62,27,7.0
500,62,28,7.0
501,62,29,7.0
502,62,30,7.0
503,62,31,7.0
504,63,0,7.0
505,63,1,2.0
506,63,2,7.0
507,63,3,5.0
508,63,4,1.0
509,63,5,3.0
510,63,6,3.0
511,63,7,7.0
512,64,16,3.0
513,64,17,3.0
514,64,18,3.0
515,64,19,3.0
516,64,20,3.0
517,64,21,5.0
518,64,22,6.0
519,64,23,3.0
520,65,8,7.0
521,65,9,7.0
522,65,10,7.0
523,65,11,7.0
524,65,12,7.0
525,65,13,7.0
526,65,14,7.0
527,65,15,7.0
528,66,24,7.0
529,66,25,7.0
530,66,26,7.0
